"","MPA","Users","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"63","Calanques","Nautical activities","RCP45_2050",0.300068377870961,0.000765,0.466666666666667,"Low","Low","High","Intermediate"
"64","Baix Emporda","Recreational fishers","RCP45_2050",0.291554004044364,0.0902089552238806,0.464378698224852,"Low","Low","High","Intermediate"
"65","Calanques","Nautical activities","RCP26_2050",0.308621277158855,0.000765,0.466666666666667,"Low","Low","High","Intermediate"
"66","Baix Emporda","Recreational fishers","RCP45_2100",0.545879821932197,0.0902089552238806,0.464378698224852,"Very High","Low","High","High"
"67","Brijuni","Divers","RCP85_2100",0.933756502824438,0.585,0.421810416666667,"Extreme","Extreme","Intermediate","Extreme"
"68","Brijuni","Divers","RCP45_2050",0.388660873053288,0.585,0.421810416666667,"Intermediate","Extreme","Intermediate","Very High"
"69","Brijuni","Divers","RCP26_2100",0.327934363860424,0.585,0.421810416666667,"Intermediate","Extreme","Intermediate","Very High"
"70","Brijuni","Divers","RCP26_2050",0.397798662630573,0.585,0.421810416666667,"Intermediate","Extreme","Intermediate","Very High"
"71","Brijuni","Divers","RCP85_2050",0.417290578038029,0.585,0.421810416666667,"Intermediate","Extreme","Intermediate","Very High"
"72","Brijuni","Divers","RCP45_2100",0.579798129171526,0.585,0.421810416666667,"Very High","Extreme","Intermediate","Very High"
"73","Baix Emporda","Nautical activities","RCP85_2100",0.866317376125847,0.33772,0.385541666666667,"Extreme","High","Intermediate","Very High"
"74","Cap de Creus","Tourist sector","RCP85_2100",0.866317376125847,0.353860518513619,0.441937495128985,"Extreme","High","Intermediate","Very High"
"75","Baix Emporda","Nautical activities","RCP26_2050",0.379403039877098,0.33772,0.385541666666667,"Intermediate","High","Intermediate","High"
"76","Cap de Creus","Tourist sector","RCP85_2050",0.324972508994368,0.353860518513619,0.441937495128985,"Intermediate","High","Intermediate","High"
"77","Baix Emporda","Nautical activities","RCP85_2050",0.324972508994368,0.33772,0.385541666666667,"Intermediate","High","Intermediate","High"
"78","Cap de Creus","Tourist sector","RCP26_2050",0.379403039877098,0.353860518513619,0.441937495128985,"Intermediate","High","Intermediate","High"
"79","Baix Emporda","Nautical activities","RCP26_2100",0.276650910354068,0.33772,0.385541666666667,"Low","High","Intermediate","High"
"80","Cap de Creus","Tourist sector","RCP26_2100",0.276650910354068,0.353860518513619,0.441937495128985,"Low","High","Intermediate","High"
"81","Cap de Creus","Tourist sector","RCP45_2050",0.291554004044364,0.353860518513619,0.441937495128985,"Low","High","Intermediate","High"
"82","Baix Emporda","Nautical activities","RCP45_2050",0.291554004044364,0.33772,0.385541666666667,"Low","High","Intermediate","High"
"83","Baix Emporda","Nautical activities","RCP45_2100",0.545879821932197,0.33772,0.385541666666667,"Very High","High","Intermediate","Very High"
